County Name,Ctfips,Geography Selector,LHD Name,CTPopulation,Average Yrsof Schooling,Good Air Quality Index,High Employment Access,High Health Care Access,Income Equality GINI,Job Participation High Labor Force,Less Deprived Area Townsend Index,LILA Food Access,More Affordability Index,More Walkability Environment Index,Pop WeightedDensity,Racial Dissimilarity Index,Stables Pop Churning
Arlington County,51013102200,Arlington County,Arlington LHD,7065,0.689599925,0.617937824,0.116337719,0.46675958,0.402294197,0.771,0.161678584,0.066697553,0.403403403,0.251778698,0.363554695,0.593310749,0.795165394
Arlington County,51013102301,Arlington County,Arlington LHD,1519,0.873445433,0.903835447,0.109565217,0.457549956,0.443049933,0.745,0.592810449,0.066697553,0.691691692,0.293777093,0.054471074,0.758085867,0.848600509
Arlington County,51013102302,Arlington County,Arlington LHD,4233,0.762770456,0.717148113,0.133113969,0.44388837,0.449392713,0.774,0.305260753,0.066697553,0.63963964,0.345281935,0.116041278,0.488298675,0.798982188
Arlington County,51013102400,Arlington County,Arlington LHD,3609,0.81189564,0.531649316,0.129632063,0.432265413,0.460458839,0.846,0.360184314,0.066697553,0.64964965,0.32017208,0.119441486,0.844174073,0.868956743
Arlington County,51013102500,Arlington County,Arlington LHD,5086,0.841660116,0.568879223,0.134257975,0.426471992,0.46734143,0.85,0.325455979,0.066697553,0.657657658,0.335429219,0.137879456,0.979365009,0.693384224
Arlington County,51013102600,Arlington County,Arlington LHD,3608,0.740245886,0.630040585,0.131542219,0.436924399,0.51120108,0.8,0.288579606,0.066697553,0.638638639,0.392304625,0.143329561,0.928662079,0.783715013
Arlington County,51013102701,Arlington County,Arlington LHD,3789,0.686675885,0.780665806,0.115715245,0.44388837,0.466531714,0.838,0.148816119,0.066697553,0.455455455,0.289497391,0.219779841,0.947182194,0.762086514
Arlington County,51013102702,Arlington County,Arlington LHD,1950,0.803198669,0.829457051,0.109293194,0.440439276,0.569500675,0.853,0.340266476,0.066697553,0.63963964,0.202677565,0.19543648,0.90852025,0.77480916
Arlington County,51013102801,Arlington County,Arlington LHD,6766,0.778086159,0.693314884,0.110755071,0.452260872,0.482051282,0.808,0.343839762,0.066697553,0.552552553,0.231596504,0.256692425,0.750441082,0.798982188
Arlington County,51013102802,Arlington County,Arlington LHD,1123,0.84305314,0.945808005,0.111966701,0.441148056,0.592712551,0.706,0.729385029,0.066697553,0.716716717,0.252745812,0.06236973,0.838107459,0.829516539
Arlington County,51013102901,Arlington County,Arlington LHD,2720,0.907544399,0.839370693,0.156339762,0.440439276,0.576383266,0.89,0.613107691,0.066697553,0.725725726,0.238897855,0.137976065,0.923834683,0.801526718
Arlington County,51013102902,Arlington County,Arlington LHD,4529,0.872336666,0.779461619,0.128194928,0.43144506,0.516059379,0.893,0.396441341,0.066697553,0.650650651,0.380940583,0.179025088,0.486282482,0.627226463
Arlington County,51013103000,Arlington County,Arlington LHD,3373,0.8947288,0.609884975,0.133545873,0.429923021,0.589608637,0.853,0.591309735,0.066697553,0.735735736,0.18698487,0.127264631,0.929734848,0.814249364
Arlington County,51013103100,Arlington County,Arlington LHD,6317,0.741132965,0.581363465,0.097227282,0.426471992,0.460593792,0.753,0.326634058,0.066697553,0.65965966,0.247058665,0.098198511,0.886266378,0.807888041
